,epoch,train_loss,train_acc,valid_loss,valid_acc,name_checkpoint,lr
0,218,0.0103,0.9972,1.5006,0.7366,checkpoint_0218.pth,0.0003293320938702506
0,219,0.0088,0.9966,1.4826,0.7397,checkpoint_0219.pth,0.0003223439796515189
0,220,0.0098,0.9966,1.5095,0.7405,checkpoint_0220.pth,0.0003153953609173718
0,221,0.0152,0.9939,1.5832,0.7311,checkpoint_0221.pth,0.0003084877824281499
0,222,0.0148,0.9945,1.5222,0.7295,checkpoint_0222.pth,0.0003016227798204612
0,223,0.0126,0.9953,1.5784,0.7271,checkpoint_0223.pth,0.0002948018792657905
0,224,0.0138,0.9958,1.4813,0.7342,checkpoint_0224.pth,0.00028802659713121284
0,225,0.0109,0.9968,1.5664,0.7279,checkpoint_0225.pth,0.0002812984396422878
0,226,0.0112,0.9958,1.5337,0.7445,checkpoint_0226.pth,0.00027461890254820736
0,227,0.0099,0.9974,1.5628,0.7342,checkpoint_0227.pth,0.0002679894707892731
0,228,0.011,0.9962,1.5335,0.7374,checkpoint_0228.pth,0.0002614116181667767
0,229,0.0105,0.9972,1.4999,0.7271,checkpoint_0229.pth,0.0002548868070153559
0,230,0.0131,0.9958,1.5226,0.7311,checkpoint_0230.pth,0.0002484164878779004
0,231,0.0082,0.9972,1.4989,0.7287,checkpoint_0231.pth,0.00024200209918307983
0,232,0.0095,0.9968,1.4854,0.7279,checkpoint_0232.pth,0.00023564506692556195
0,233,0.0097,0.9964,1.5229,0.7358,checkpoint_0233.pth,0.00022934680434899912
0,234,0.0075,0.9974,1.4471,0.7374,checkpoint_0234.pth,0.0002231087116318469
0,235,0.0079,0.997,1.4509,0.7382,checkpoint_0235.pth,0.00021693217557608736
0,236,0.0089,0.9964,1.5048,0.7311,checkpoint_0236.pth,0.0002108185692989262
0,237,0.0066,0.9976,1.4509,0.7437,checkpoint_0237.pth,0.0002047692519275344
0,238,0.0086,0.9974,1.4344,0.7397,checkpoint_0238.pth,0.00019878556829689583
0,239,0.0114,0.996,1.4675,0.7374,checkpoint_0239.pth,0.00019286884865083581
0,240,0.0065,0.9976,1.4164,0.7405,checkpoint_0240.pth,0.000187020408346292
0,241,0.0072,0.9974,1.4817,0.7405,checkpoint_0241.pth,0.0001812415475608945
0,242,0.0085,0.9974,1.5018,0.7468,checkpoint_0242.pth,0.0001755335510039215
0,243,0.0076,0.9972,1.466,0.7476,checkpoint_0243.pth,0.0001698976876306927
0,244,0.009,0.9974,1.4209,0.7603,checkpoint_0244.pth,0.0001643352103604658
0,245,0.0074,0.9972,1.4138,0.7547,checkpoint_0245.pth,0.00015884735579789765
0,246,0.0062,0.9974,1.4495,0.7516,checkpoint_0246.pth,0.0001534353439581321
0,247,0.0047,0.9982,1.4794,0.7445,checkpoint_0247.pth,0.00014810037799557667
0,248,0.0101,0.9968,1.4669,0.7476,checkpoint_0248.pth,0.0001428436439364264
0,249,0.0051,0.9982,1.4276,0.7539,checkpoint_0249.pth,0.00013766631041499722
0,250,0.0072,0.9976,1.4459,0.7445,checkpoint_0250.pth,0.0001325695284139229
0,251,0.0075,0.9976,1.4479,0.7539,checkpoint_0251.pth,0.00012755443100828022
0,252,0.0065,0.9978,1.4709,0.7579,checkpoint_0252.pth,0.00012262213311369102
0,253,0.0076,0.997,1.5063,0.7532,checkpoint_0253.pth,0.00011777373123846431
0,254,0.0028,0.9992,1.4504,0.7524,checkpoint_0254.pth,0.00011301030323982903
0,255,0.0044,0.9982,1.4403,0.7547,checkpoint_0255.pth,0.00010833290808431387
0,256,0.0049,0.9982,1.4348,0.7468,checkpoint_0256.pth,0.00010374258561232613
0,257,0.006,0.9984,1.4197,0.7516,checkpoint_0257.pth,9.924035630698326e-05
0,258,0.0036,0.999,1.4748,0.7532,checkpoint_0258.pth,9.482722106724705e-05
0,259,0.0051,0.9972,1.4589,0.75,checkpoint_0259.pth,9.050416098541193e-05
0,260,0.0091,0.9968,1.4983,0.7461,checkpoint_0260.pth,8.627213712899711e-05
0,261,0.0038,0.9984,1.4745,0.7468,checkpoint_0261.pth,8.213209032708863e-05
0,262,0.0028,0.999,1.4689,0.7413,checkpoint_0262.pth,7.80849409611831e-05
0,263,0.0038,0.9992,1.4675,0.7476,checkpoint_0263.pth,7.413158876057579e-05
0,264,0.0032,0.9988,1.4711,0.7429,checkpoint_0264.pth,7.027291260233922e-05
0,265,0.0029,0.9992,1.4691,0.7421,checkpoint_0265.pth,6.650977031593942e-05
0,266,0.0039,0.9988,1.4777,0.7445,checkpoint_0266.pth,6.284299849253002e-05
0,267,0.0048,0.9982,1.5504,0.7453,checkpoint_0267.pth,5.927341229896778e-05
0,268,0.0024,0.9992,1.536,0.7421,checkpoint_0268.pth,5.5801805296591174e-05
0,269,0.0031,0.9988,1.531,0.7437,checkpoint_0269.pth,5.242894926480339e-05
0,270,0.0023,0.999,1.5195,0.7468,checkpoint_0270.pth,4.915559402949532e-05
0,271,0.0037,0.999,1.5206,0.7461,checkpoint_0271.pth,4.5982467296351e-05
0,272,0.004,0.9986,1.5104,0.7437,checkpoint_0272.pth,4.291027448907015e-05
0,273,0.0029,0.9994,1.5171,0.7453,checkpoint_0273.pth,3.9939698592543614e-05
